"","Player","PTS_G","TRB_G","AST_G","STL_G","BLK_G","X3P_G","PTS_100","TRB_100","AST_100","STL_100","BLK_100","X3P_100"
"1","Aaron Gordon",15,5.9,2.5,0.6,0.6,1.2,23.2,9.1,3.9,0.9,0.9,1.8
"2","Aaron Holiday",6.4,2,2.56666666666667,0.7,0.1,0.633333333333333,19.3,6.1,7.73333333333333,2.06666666666667,0.366666666666667,1.93333333333333
"3","Aaron Nesmith",3.8,1.7,0.4,0.4,0.1,0.6,17,7.7,1.9,1.7,0.4,2.7
"4","Aaron Wiggins",8.3,3.6,1.4,0.6,0.2,0.8,16.8,7.2,2.7,1.2,0.4,1.7
"5","Abdel Nader",2.4,1.9,0.5,0.6,0.3,0.3,11.3,9,2.3,2.7,1.3,1.3
"6","Admiral Schofield",3.8,2.3,0.7,0.1,0.1,0.7,15.1,9.2,2.6,0.4,0.5,2.7
"7","Al Horford",10.2,7.7,3.4,0.7,1.3,1.3,17.4,13.1,5.7,1.2,2.3,2.2
"8","Alec Burks",11.7,4.9,3,1,0.3,1.9,20.4,8.6,5.2,1.8,0.6,3.4
"9","Aleksej Pokusevski",7.6,5.2,2.1,0.6,0.6,0.9,18.3,12.6,5.2,1.5,1.5,2.3
"10","Alex Caruso",7.4,3.6,4,1.7,0.4,1,12.9,6.3,7,3,0.6,1.8
"11","Alex Len",6,4.1,1.2,0.3,0.6,0.2,18.2,12.5,3.5,1,1.9,0.5
"12","Alfonzo McKinnie",3.5,1.9,0.3,0.1,0.2,0.5,14,7.8,1.2,0.5,0.7,2.1
"13","Alize Johnson",1.8,2.5,0.45,0.2,0,0,11.65,16.2,2.9,1.35,0,0
"14","Alperen Sengün",9.6,5.5,2.6,0.8,0.9,0.4,22.1,12.6,5.9,1.9,2.2,0.9
"15","Amir Coffey",9,2.9,1.8,0.6,0.2,1.4,19.4,6.2,3.9,1.2,0.5,3
"16","Andre Drummond",8.6,9.46666666666667,1.73333333333333,1.03333333333333,0.933333333333333,0,20.6666666666667,23.2333333333333,4.33333333333333,2.6,2.3,0
"17","Andre Iguodala",4,3.2,3.7,0.9,0.7,0.5,10,8.1,9.2,2.2,1.8,1.4
"18","Andrew Wiggins",17.2,4.5,2.2,1,0.7,2.2,26.3,6.8,3.4,1.6,1.1,3.3
"19","Anfernee Simons",17.3,2.6,3.9,0.5,0.1,3.1,28.7,4.4,6.4,0.9,0.2,5.2
"20","Anthony Davis",23.2,9.9,3.1,1.2,2.3,0.3,31.6,13.5,4.2,1.7,3.1,0.4
"21","Anthony Edwards",21.3,4.8,3.8,1.5,0.6,3,29.6,6.6,5.3,2,0.9,4.1
"22","Anthony Gill",4.1,1.9,0.6,0.1,0.3,0.3,19.2,9.1,2.9,0.5,1.2,1.5
"23","Armoni Brooks",4.7,1.86666666666667,1.1,0.5,0.2,1.26666666666667,14.9666666666667,6.2,3.7,1.76666666666667,0.733333333333333,3.93333333333333
"24","Austin Reaves",7.3,3.2,1.8,0.5,0.3,0.9,15,6.5,3.7,1,0.7,1.8
"25","Austin Rivers",6,1.7,1.3,0.8,0.1,1.2,13.4,3.8,3,1.7,0.2,2.6
"26","Avery Bradley",6.4,2.2,0.8,0.9,0.1,1.3,13.4,4.6,1.6,1.8,0.3,2.8
"27","Ayo Dosunmu",8.8,2.8,3.3,0.8,0.4,0.9,15.7,5,5.9,1.4,0.7,1.6
"28","Bam Adebayo",19.1,10.1,3.4,1.4,0.8,0,29.3,15.5,5.2,2.2,1.2,0
"29","Ben McLemore",10.2,1.6,0.9,0.6,0.2,2.4,24.9,3.9,2.2,1.4,0.4,5.7
"30","Bismack Biyombo",5.8,4.6,0.6,0.3,0.7,0,20,15.9,2.2,1.1,2.5,0
"31","Blake Griffin",6.4,4.1,1.9,0.5,0.3,0.7,18.2,11.5,5.3,1.4,0.7,1.9
"32","Boban Marjanovic",4.3,1.7,0.1,0,0.1,0,38.5,15.3,1.2,0,1.2,0.4
"33","Bobby Portis",14.6,9.1,1.2,0.7,0.7,1.8,24.9,15.6,2,1.3,1.2,3.1
"34","Bogdan Bogdanovic",15.1,4,3.1,1.1,0.2,2.7,25.3,6.6,5.2,1.8,0.4,4.5
"35","Bojan Bogdanovic",18.1,4.3,1.7,0.5,0,2.6,28.9,6.9,2.8,0.8,0,4.2
"36","Bones Hyland",10.1,2.7,2.8,0.6,0.3,1.9,26.1,7,7.2,1.5,0.7,4.9
"37","Brad Wanamaker",3.55,1.65,2.3,0.25,0.3,0.2,12.7,5.95,8.2,0.95,0.95,0.65
"38","Bradley Beal",23.2,4.7,6.6,0.9,0.4,1.6,31.9,6.5,9.1,1.2,0.5,2.2
"39","Brandon Boston Jr.",6.7,2.2,1,0.5,0.3,0.7,22.1,7.2,3.3,1.7,0.8,2.2
"40","Brandon Clarke",10.4,5.3,1.3,0.6,1.1,0.1,25.6,13.1,3.3,1.5,2.6,0.2
"41","Brandon Goodwin",4.8,1.9,2.5,0.7,0,0.5,17,6.7,9.1,2.5,0.1,1.9
"42","Brandon Ingram",22.7,5.8,5.6,0.6,0.5,1.3,32.9,8.5,8.1,0.9,0.7,2
"43","Brandon Williams",12.9,3.1,3.9,1,0.4,1.3,23.6,5.6,7.2,1.8,0.8,2.4
"44","Braxton Key",7.2,4.5,1,0.9,1,0.5,19.65,12.35,2.65,2.4,2.75,1.5
"45","Brook Lopez",12.4,4.1,0.5,0.6,1.2,1.5,25.9,8.5,1,1.3,2.4,3.1
"46","Bruce Brown",9,4.8,2.1,1.1,0.7,0.5,17.7,9.4,4,2.1,1.4,1
"47","Bruno Fernando",1.95,1.3,0.2,0,0.3,0.05,28,17.5,2.2,0.3,3.5,0.3
"48","Bryn Forbes",8.83333333333333,1.23333333333333,1,0.3,0.1,1.63333333333333,24.9666666666667,3.46666666666667,2.8,0.9,0.2,4.6
"49","Buddy Hield",16.0666666666667,4.5,3.16666666666667,0.933333333333333,0.333333333333333,3.2,24.5666666666667,6.86666666666667,4.73333333333333,1.4,0.5,4.96666666666667
"50","Cade Cunningham",17.4,5.5,5.6,1.2,0.7,1.8,26,8.3,8.3,1.8,1,2.7
"51","Caleb Martin",9.2,3.8,1.1,1,0.5,1.1,20.1,8.4,2.3,2.1,1.1,2.3
"52","Cam Reddish",9.36666666666667,2,0.933333333333333,0.933333333333333,0.3,1.16666666666667,23.4666666666667,5.06666666666667,2.3,2.43333333333333,0.766666666666667,2.9
"53","Cam Thomas",8.5,2.4,1.2,0.5,0.1,0.7,23.5,6.6,3.2,1.4,0.3,1.9
"54","Cameron Johnson",12.5,4.1,1.5,0.9,0.2,2.5,22.9,7.6,2.8,1.6,0.4,4.6
"55","Cameron Payne",10.8,3,4.9,0.7,0.3,1.2,23.6,6.6,10.6,1.5,0.6,2.7
"56","Caris LeVert",16.4333333333333,3.63333333333333,4.2,0.866666666666667,0.4,1.36666666666667,26.4666666666667,5.86666666666667,6.83333333333333,1.4,0.566666666666667,2.2
"57","Carmelo Anthony",13.3,4.2,1,0.7,0.8,2.2,24.6,7.7,1.8,1.3,1.4,4
"58","Cedi Osman",10.7,2.2,2,0.8,0.2,1.9,24.2,5,4.6,1.8,0.3,4.4
"59","Charles Bassey",3,2.7,0.3,0.2,0.7,0,20.5,18.4,2.1,1.5,5,0
"60","Charlie Brown Jr.",1.45,1.55,0.3,0.45,0.2,0.05,8.55,9.25,1.6,2.65,1,0.3
"61","Chimezie Metu",8.9,5.6,1,0.9,0.5,1,20.1,12.6,2.3,1.9,1.2,2.1
"62","Chris Boucher",9.4,6.2,0.3,0.6,0.9,0.9,22.3,14.6,0.7,1.4,2.2,2
"63","Chris Chiozza",2,1.1,1.9,0.4,0,0.5,8.8,4.7,8.5,1.7,0,2.2
"64","Chris Duarte",13.1,4.1,2.1,1,0.2,1.7,22.9,7.2,3.6,1.8,0.3,3
"65","Chris Paul",14.7,4.4,10.8,1.9,0.3,1,21.6,6.4,15.8,2.7,0.4,1.4
"66","Christian Wood",17.9,10.1,2.3,0.8,1,1.9,27.7,15.6,3.5,1.2,1.5,3
"67","Chuma Okeke",8.6,5,1.7,1.4,0.6,1.7,16.7,9.6,3.3,2.7,1.2,3.3
"68","CJ Elleby",5.8,3.9,1.5,0.6,0.3,0.6,14.1,9.4,3.6,1.5,0.8,1.5
"69","CJ McCollum",22.3,4.36666666666667,5.13333333333333,1.13333333333333,0.333333333333333,2.9,31.7666666666667,6.2,7.33333333333333,1.63333333333333,0.466666666666667,4.16666666666667
"70","Clint Capela",11.1,11.9,1.2,0.7,1.3,0,19.7,21.1,2.2,1.3,2.2,0
"71","Coby White",12.7,3,2.9,0.5,0.2,2.2,22.5,5.3,5.1,0.8,0.3,4
